player,team_x,url_x,pass_metric,id_x,headshot_url,team_y,url_y,carry_metric,id_y
Brice Samba,RE,/en/players/60d90c55/Brice-Samba,-2.21,60d90c55,https://fbref.com/req/202302030/images/headshots/60d90c55_2022.jpg,LE,/en/players/60d90c55/Brice-Samba,-1.42,60d90c55
Radosław Majecki,MO,/en/players/20de219a/Radoslaw-Majecki,-2.29,20de219a,https://fbref.com/req/202302030/images/headshots/20de219a_2022.jpg,MO,/en/players/20de219a/Radoslaw-Majecki,-1.36,20de219a
Philipp Köhn,MO,/en/players/ff74841d/Philipp-Kohn,-2.32,ff74841d,https://fbref.com/req/202302030/images/headshots/ff74841d_2022.jpg,MO,/en/players/ff74841d/Philipp-Kohn,-1.35,ff74841d
Alban Lafont,NA,/en/players/4e7db402/Alban-Lafont,-2.36,4e7db402,https://fbref.com/req/202302030/images/headshots/4e7db402_2022.jpg,NA,/en/players/4e7db402/Alban-Lafont,-1.37,4e7db402
Donovan Léon,AU,/en/players/51c83a90/Donovan-Leon,-2.43,51c83a90,https://fbref.com/req/202302030/images/headshots/51c83a90_2022.jpg,AU,/en/players/51c83a90/Donovan-Leon,-1.45,51c83a90
Brice Samba,LE,/en/players/60d90c55/Brice-Samba,-2.43,60d90c55,https://fbref.com/req/202302030/images/headshots/60d90c55_2022.jpg,RE,/en/players/60d90c55/Brice-Samba,-1.28,60d90c55
Brice Samba,LE,/en/players/60d90c55/Brice-Samba,-2.43,60d90c55,https://fbref.com/req/202302030/images/headshots/60d90c55_2022.jpg,LE,/en/players/60d90c55/Brice-Samba,-1.42,60d90c55
Steve Mandanda,RE,/en/players/1d2d5cc8/Steve-Mandanda,-2.45,1d2d5cc8,https://fbref.com/req/202302030/images/headshots/1d2d5cc8_2022.jpg,RE,/en/players/1d2d5cc8/Steve-Mandanda,-1.41,1d2d5cc8
Benjamin Lecomte,MO,/en/players/2fa2a875/Benjamin-Lecomte,-2.47,2fa2a875,https://fbref.com/req/202302030/images/headshots/2fa2a875_2022.jpg,MO,/en/players/2fa2a875/Benjamin-Lecomte,-1.44,2fa2a875
Arthur Desmas,LE,/en/players/e8c5dd4d/Arthur-Desmas,-2.47,e8c5dd4d,https://fbref.com/req/202302030/images/headshots/e8c5dd4d_2022.jpg,LE,/en/players/e8c5dd4d/Arthur-Desmas,-1.4,e8c5dd4d
Marco Bizot,BR,/en/players/3d214e5f/Marco-Bizot,-2.48,3d214e5f,https://fbref.com/req/202302030/images/headshots/3d214e5f_2022.jpg,BR,/en/players/3d214e5f/Marco-Bizot,-1.45,3d214e5f
Gianluigi Donnarumma,PA,/en/players/08f5afaa/Gianluigi-Donnarumma,-2.5,08f5afaa,https://fbref.com/req/202302030/images/headshots/08f5afaa_2022.jpg,PA,/en/players/08f5afaa/Gianluigi-Donnarumma,-1.4,08f5afaa
Guillaume Restes,TO,/en/players/6b91b999/Guillaume-Restes,-2.5,6b91b999,https://fbref.com/req/202302030/images/headshots/6b91b999_2022.jpg,TO,/en/players/6b91b999/Guillaume-Restes,-1.43,6b91b999
Yahia Fofana,AN,/en/players/9d420dad/Yahia-Fofana,-2.52,9d420dad,https://fbref.com/req/202302030/images/headshots/9d420dad_2022.jpg,AN,/en/players/9d420dad/Yahia-Fofana,-1.43,9d420dad
Lucas Perri,LY,/en/players/5dbd461a/Lucas-Perri,-2.54,5dbd461a,https://fbref.com/req/202302030/images/headshots/5dbd461a_2022.jpg,LY,/en/players/5dbd461a/Lucas-Perri,-1.45,5dbd461a
Gautier Larsonneur,SA,/en/players/b49729cb/Gautier-Larsonneur,-2.54,b49729cb,https://fbref.com/req/202302030/images/headshots/b49729cb_2022.jpg,SA,/en/players/b49729cb/Gautier-Larsonneur,-1.46,b49729cb
Lucas Chevalier,LI,/en/players/b3d76d84/Lucas-Chevalier,-2.55,b3d76d84,https://fbref.com/req/202302030/images/headshots/b3d76d84_2022.jpg,LI,/en/players/b3d76d84/Lucas-Chevalier,-1.45,b3d76d84
Yehvann Diouf,RE,/en/players/eedea60b/Yehvann-Diouf,-2.55,eedea60b,https://fbref.com/req/202302030/images/headshots/eedea60b_2022.jpg,RE,/en/players/eedea60b/Yehvann-Diouf,-1.45,eedea60b
Marcin Bułka,NI,/en/players/db87a2c4/Marcin-Bulka,-2.57,db87a2c4,https://fbref.com/req/202302030/images/headshots/db87a2c4_2022.jpg,NI,/en/players/db87a2c4/Marcin-Bulka,-1.46,db87a2c4
Đorđe Petrović,ST,/en/players/0cf321c8/Djordje-Petrovic,-2.57,0cf321c8,https://fbref.com/req/202302030/images/headshots/0cf321c8_2022.jpg,ST,/en/players/0cf321c8/Djordje-Petrovic,-1.45,0cf321c8
Gerónimo Rulli,MA,/en/players/625c144a/Geronimo-Rulli,-2.58,625c144a,https://fbref.com/req/202302030/images/headshots/625c144a_2022.jpg,MA,/en/players/625c144a/Geronimo-Rulli,-1.46,625c144a
