id,index,x,y,under_pressure,shot_one_on_one,end_x,end_y,goal,goal_smf,x0,c,angle,distance,body_part_name_Head,body_part_name_Left Foot,body_part_name_Other,body_part_name_Right Foot,technique_name_Backheel,technique_name_Diving Header,technique_name_Half Volley,technique_name_Lob,technique_name_Normal,technique_name_Overhead Kick,technique_name_Volley,gk_distance,gk_distance_y,close_players,triangle,gk_dist_to_goal
fd704368-4336-43a6-9dc9-e76af9fd63e3,2231,11.200000000000003,34.85,0,0,120.0,39.9,0,0,93.8,0.8500000000000014,36.01797066815853,11.232208153341892,False,False,False,True,False,False,False,False,True,False,False,9.474434020035185,0.6799999999999997,2,2,1.7582377541163199
1444ff8e-87e7-4fe4-9d5f-cddb7f087007,2416,4.637500000000003,41.989999999999995,1,0,120.0,50.0,0,0,100.3625,7.989999999999995,25.257979074872402,9.23831728454917,True,False,False,False,False,False,False,False,True,False,False,6.136379734827368,5.099999999999994,1,1,3.1389050638717935
c344b186-8f57-4eae-a186-8fc73b8b9ec9,2516,14.875,34.0,0,0,120.0,44.2,0,0,90.125,0.0,27.646127022828274,14.875,False,False,False,True,False,False,False,False,True,False,False,10.508597670479158,0.42499999999999716,3,2,4.395594385290799
8ea6b23c-4a04-4f31-ae5a-7d0cababb10e,2563,11.900000000000006,21.93,0,0,120.0,49.9,0,0,93.1,12.07,17.642188084234764,16.94977580972681,False,True,False,False,False,False,False,False,True,False,False,13.394010088468653,8.840000000000003,1,1,3.716087492242345
d9a6fe75-ff09-44ae-ba7d-c064e450277b,2770,11.462500000000006,22.525,0,0,107.7,27.5,0,0,93.5375,11.475000000000001,18.57580016127942,16.219264201868103,False,True,False,False,False,False,False,False,True,False,False,12.719124625932405,8.415,2,1,3.615138309940576
f1a792f3-7d5e-4176-a07c-05f6874ec660,2775,6.474999999999994,43.605,0,0,116.3,42.9,0,0,98.525,9.604999999999997,21.425270123016137,11.583680330533983,True,False,False,False,False,False,False,False,True,False,False,9.85853564176749,7.990000000000002,0,1,1.7601775478627115
3c56e4da-b9b2-4889-bc85-d82e0c2cc031,2825,6.5625,43.435,1,0,113.1,50.1,0,0,98.4375,9.435000000000002,22.034690940540283,11.49285131070615,False,False,False,True,False,False,False,False,True,False,False,8.006610159736766,6.1200000000000045,1,2,3.5985031610379337
b2a21b90-0ced-415a-a960-904b01256092,2922,7.787499999999994,41.225,0,0,114.4,45.4,0,0,97.2125,7.225000000000001,29.821185685894047,10.622889496271714,False,False,False,True,False,False,True,False,False,False,False,4.042914326324513,3.3999999999999986,1,0,6.781638813738163
c06a6d3e-3821-440c-8bc5-0b9196b1149f,2933,14.612499999999997,49.214999999999996,0,0,118.3,41.7,0,0,90.3875,15.214999999999996,13.918375578176224,21.095529887869606,False,True,False,False,False,False,False,False,True,False,False,18.48316057929487,12.835,1,1,2.717913951912381
d89ba244-d1b3-4704-b44b-4c2022d56eba,2942,6.825000000000003,36.975,0,0,119.6,43.0,0,0,98.175,2.9750000000000014,49.92264432936254,7.44521658516393,True,False,False,False,False,False,False,False,True,False,False,6.841763296110156,2.210000000000001,1,2,0.8412639300481134
